,Unnamed: 0,id,username,created_at,note,followers_count,following_count,statuses_count
49986,49986,312245,SickoftheSwamp,2017-11-21T00:30:56.000Z,texan twitterrefugee trying to reconnect with my 68k friends patriotparty americafirst maga 1a 2a defender constitutionalconservative breastcancer survivor her2+in politics nothing happens by accident if it happens you can bet it was planned that way ~franklin roosevelt,1569,1785,512
25340,25340,5995343,kw_satellite,2022-07-15T00:40:35.746Z,httpskwsatellitecom,82,261,58
2244,2244,6619865,Elena_Lowin,2024-06-15T23:58:28.882Z,adventurous seeking new horizons introverted thinker lost in the world of ideas nature lover coffee enthusiast,3,22,12
21533,21533,396505,Wozza1968,2018-01-28T03:17:43.000Z,think for yourselves and let others enjoy the privilege to do so too evelyn beatrice hall,59,45,27
55524,55524,6620686,01Guenni,2024-06-19T08:31:12.689Z,gesellig natu rlich ehrlich,0,6,1621
60809,60809,1556722,DanielNewman,2020-06-28T15:38:37.936Z,to bring glory to god and establish his kingdom by drawing closer to him improving and serving others advocating justice exploring the universe and creating arthttpskootenaijournalcomkootenaijournal,190,155,927
21591,21591,6478989,mooreevelyn,2023-10-11T23:32:29.308Z,i am an open book,23,90,1
4010,4010,155489,magicat,2017-04-04T17:27:19.000Z,im an oldschool anon 1m get era b documented as twitter user nyan magickalfeline and labeled a general and altright in the 2018 amaize et al gamergate network study identity proof httpsarchivelimv0jk most assuredly i say to you he who believes in jesus christ has everlasting life john 647,341,712,958
55814,55814,2041515,Realeyezrealizetruth,2020-12-31T05:16:37.493Z,here to crush the nwo draconian pedo scum main account banned from insta for exposing the demonic tranny agenda,185,249,3010
81905,81905,5268331,JemaStark,2021-08-08T01:52:01.612Z,true to the red white and blue i stand with the constitution of the united states of america gun owner truth seeker freedom fighter lets go brandon stand up for your beliefs do not comply to the totalitarian regime praise god,187,169,3761
22179,22179,6675285,Godfirst37,2024-12-19T17:09:07.847Z,a god fearing woman and the truth lover,25,180,4
53897,53897,5093117,SacredHonorCoffeeCo,2021-04-30T19:00:29.551Z,wwwsacredhonorcoffeecomwe air roast specialty grade coffee beans and donate to organizations that defend our constitutional and natural rights,3,10,47
3300,3300,112265,Doveascendant,2016-12-08T10:09:39.000Z,i will be wandering the internet to find a free speech site might let you know,6379,9640,69726
7337,7337,3153250,Purpose_Driven_Homestead,2021-01-11T16:20:02.733Z,we are a couple who seek to honor god by returning to the legacy homesteading traditions that made this country great while investing in our children by homeschooling to instill gods values were on a journey to transition from corporate jobs into operating our own business where our children can learn their own entrepreneurial skills to prepare them for the future,6159,1087,16059
4332,4332,3041830,ARMarshall,2021-01-11T09:13:07.763Z,this is clown world and i am but a humble clown here to juggle and entertain the massesi am convinced if i took this world seriously for 24 straight hours i would have to kill myselfsorry guys my phone dont work good i can only do thumbs up now,2538,1561,23775
35069,35069,4387028,Aapo_Ahola,2021-02-06T12:23:55.012Z,finnish national socialist,171,52,2810
37913,37913,5996355,Elmascott,2022-07-15T22:39:48.706Z,love nature,14,24,1
46294,46294,2643402,Budley1,2021-01-10T11:29:11.978Z,the bud zone podcast httpspodcastsapplecomuspodcastthebudzoneid1581813840the bud zone podcast on youtube httpsyoutubecomthebudzonepodcast,251,171,5380
83135,83135,5358810,BeachBee,2021-09-11T17:23:44.425Z,mama bear1 boy 11 shar peis pdnurse scentsy consultant lifes busy but everything smells great,109,132,1361
56979,56979,6020966,mkinmontana,2022-08-06T17:16:24.354Z,sw montana,261,33,18664
33481,33481,1548178,RedStateSecession,2020-06-22T14:12:38.005Z,retrench to a position of strength split the us to preserve civilization and avoid bankruptcy on one part of this continent in one part of the anglosphere visit us at redstatesecessionorg or get free updates at secessionsubstackcom texit nationaldivorce,625,317,1954
20302,20302,3150256,Tdx92,2021-01-11T16:10:27.164Z,ave christus rex,4,39,24
19348,19348,5676229,cluster_foxtrot,2022-01-17T20:33:35.213Z,racemixing melting pot faggots feminism blm antifa masonry open borders 911 covid treasonous authorities = kike ops the american dream is white under god,104,168,996
76821,76821,3993349,1GeorgiaPeach,2021-01-21T16:01:42.515Z,red in 2003 alex jones was right i follow back if you follow q i wont follow you i dont do messenger,612,401,21860
101543,101543,2293468,WarriorforLife,2021-01-09T15:58:24.953Z,lover of life spiritual intuituive wwg1wgaproud canadian and patriot love all with all your heart and soul vibrate high send that energy love is the highest energy ever godbless canada the usa and the world,386,612,275
13432,13432,813492,newaccount,2018-10-20T15:16:04.000Z,everybody with the ability to think realizes this is it either we eradicate the worldwide satanic baby eating cabal aka the priest of baal who holds the earth in a death grip under their masters the fallen ones and bastards or they eradicate us every being is drafted into this no quarter war,881,1556,28069
48911,48911,3583644,Chinas_Government_is_Fascist,2021-01-14T01:41:03.994Z,im a liberal not an illiberal guess that means being an exdemocrat in this day and age remember when being liberal was commonly accepted as requiring being profreespeech yeah i do too oh and if you havent read or watched nineteen eightyfour v for vendetta and animal farm do so theyre practically required reading for this decade they werent supposed to be instruction manuals makeorwellfictionagain nineteeneightyfour 1a alttech boycottcorporatemedia defundthemedia,62,248,144
30027,30027,2794095,CobraKitten,2021-01-10T18:53:02.665Z,i dont like racists and i dont like radical liberals the world has changed but usually corrects itself until then i want as peaceful life as possible that means if you are a cockroach i will block you so you dont infest my time online,247,324,4172
48644,48644,2342599,Tamra17,2021-01-09T19:04:13.450Z,fuck your jab,2559,2780,2387
24695,24695,1131703,LightColonel,2019-06-12T05:04:07.000Z,christian texan i got here as fast as i could us male husband father son ret lt col usaftxangshine your god given light and be saltwhat can you do to influence the situation begin with prayer determine your options and take action have clear objectives and communicate with each other as needed be on gods side and we will be without equal we can overcome this world who is it that overcomes the world except the one who believes that jesus is the son of god 1 john 55,731,1290,1350
63101,63101,3450656,Tim_BR549,2021-01-12T23:30:28.802Z,jesus is my savior proud americanproud texan magatrump is still president stolen election,611,648,5992
85604,85604,1457145,Noraktartessio,2020-04-23T11:32:42.031Z,radical del sentido comu n,101,122,540
2652,2652,3228252,mombogolfer,2021-01-11T21:20:28.521Z,retired bnsf rrconservativegun ownerprolifepro trumpgolferlifterkeep fitknife collectorusn vet 197377nraromancatholic the only thing necessary for the triumph of evil is for good men to do nothing edmund burkethose who make peaceful revolution impossible will make violent revolution inevitablejfk1962 proud grandpa,3168,4810,78658
16328,16328,5027945,Noam_dePloom,2021-04-13T20:58:16.881Z,christianhusbandfathernoticerabsolute monarchistantimarxist,282,152,6702
7389,7389,3837655,HuronBluff,2021-01-17T15:38:58.266Z,retired volunteer firefighter 35 yearsontario firefighter medal of bravery 2001married 1987 to a wonderful womanaccepted my saviour 1988 still on the road bible in hand guided by comforter,1003,592,40340
51558,51558,2241508,Jakey76,2021-01-09T12:34:02.316Z,indian territory groypercatholicgab war veterancounterrevolutionary,161,122,772
72629,72629,6254130,00NO,2023-03-02T01:46:29.565Z,ohno,176,5,14376
59505,59505,4564960,Uncensored_TRUTH,2021-02-13T02:50:15.057Z,i run a videopodcast page designed to uncover the truth buried deep within the deep state globalist narrative free speech protect the 1st amendment,35,110,89
50755,50755,6463542,Kiddieswears13,2023-09-26T10:15:56.015Z,god fairing woman and i hate cheating love to fun and flex everyday of my life i don t like stress,7,23,5
89698,89698,333091,wetheppl901,2017-12-07T20:56:38.000Z,we stand we fight together savethechildrenendhumantrafficking riseup getloudwwwqanonpub,425,100,442
55282,55282,1456245,MYoung202,2020-04-22T20:39:59.307Z,freelance philosopher of liberty student of history true patriot,190,193,3849
59619,59619,3545098,Cognitivedissident767,2021-01-13T19:09:48.068Z,prepare for war,528,249,8623
2734,2734,5221921,Sammy347,2021-07-18T18:08:08.831Z,proud purebloodfucktheleftweoutnumberthem,1147,1441,35475
64675,64675,5246733,ohio_redneck,2021-07-30T20:19:04.312Z,just a southern raised man trying to live a midwestern life not that different just a lot colder,33,115,18
75501,75501,263403,markbara,2017-09-07T17:07:37.000Z,censorship is the child of fear and the father of ignorance laurie halse anderson,3,23,159
94401,94401,5119708,DrewLayda,2021-05-14T15:22:16.593Z,freedom fighter classical liberal constitutional conservative one of the few remaining with a blue check on twitter if you can handle dank truths and like it when savage facts are laid upside leftist heads check me out there at layda2018,2,3,9
49793,49793,5512733,jasonmajorgen,2021-11-08T10:58:14.340Z,im a widower from california usa,2,1237,0
25735,25735,6107233,Laura014,2022-10-07T02:38:14.900Z,god first |modeling |entrepreneur |mentoring |travelerreal estate legal tax invest,131,504,14
48697,48697,264071,JayFinesse,2017-09-08T00:52:37.000Z,dont be afraid of been outnumbered a lion walks alone while the sheep flock together,2080,2294,40159
65251,65251,469939,Responder111,2018-03-28T22:15:06.000Z,web designer and writer,31,57,6341
80850,80850,1480144,nateandruss,2020-05-14T02:21:11.048Z,i am a christian husband and father i am also a proud veteran and trump supporter,9,22,20
91042,91042,6677878,Jennabell45,2024-12-27T19:13:39.057Z,heard there was real free speech here dc area sick of feeling like i am in a foreign country in the usa,3,0,5
12193,12193,2864512,Spectacle4Trump,2021-01-10T22:27:39.574Z,texas maga i believe in trump never surrender wwg1wga,1090,1759,251
73665,73665,433143,athiel,2018-03-04T12:20:17.000Z,when you have strict censorship of the internet young students cannot receive a full education their view of the world is imbalanced there can be no true discussion of the issues ai weiwei,14,9,882
46530,46530,2649442,ElaineJay,2021-01-10T11:54:34.499Z,conservative brit brexiteer love my country support president trump,382,252,2027
66445,66445,6270772,SirBearington,2023-03-19T03:27:53.095Z,based bear,4,16,8
31017,31017,3833178,LoriAnn8,2021-01-17T13:53:42.356Z,mother grandmother pure blood patriot,401,198,322
93994,93994,1618456,Shaz89,2020-08-25T21:31:45.226Z,i love god my family my country and will fight for freedom and salvation i also enjoy drawingpainting and many other activities,26,23,256
10401,10401,59552,Likeitornot,2016-11-18T20:21:44.000Z,what is freedom of expression without the freedom to offend it ceases to exist salman rushdie,4446,7093,960
44461,44461,83286,JeffLaffite,2016-11-23T02:48:32.000Z,in a time of universal deceit telling the truth is a revolutionary act sic semper evello mortem tyrannis gunsmith antique weapons mech engineer artist historian iq top 01 discovered secret of my ancestors httpswashingtonlaffitejones5wordpresscom20190315thesecretoftheskeletonhorn,3556,2328,74387
42111,42111,6461754,sana1216,2023-09-24T17:26:29.964Z,hellomy name is md sanaullah thank you for visit my allreviews24com website here you will find powerful tools marketing courses plugins and many internet marketing software s tested by me md sanaullah creator of this product review blogare you in search of the latest and most fashionable internet marketing products do you want to stay informed about the latest developments in the im industry then you have come to the right place by following us,4,25,20
58083,58083,3799231,PattiSmith1234,2021-01-16T21:16:49.972Z,trump republican grandmother retired love my country and living in the country,977,1023,17190
7345,7345,109679,Voltergeist,2016-12-07T11:36:15.000Z,death to clown world,1542,1906,24418
13066,13066,6229591,Lovestotravel2023,2023-02-06T16:30:34.148Z,married and retired love to travel i have been to 90 of the national parksthink there is more good in the world than badi believe in the america i grew up in noteall posts dont reflect the true feelings of the owner posts comments are only based on opinion i bear no responsibility for or endorse user comments i do not support violence of any kind this is for entertainment only,177,256,3385
15196,15196,495928,JCBurns,2018-04-13T21:49:49.000Z,magadigital soldierdefender of the constitution as written q sent me wwg1wga,1336,1891,4641
27040,27040,6256118,TheActuary,2023-03-03T18:49:55.678Z,just an actuary trying to find his way in this world,17,141,226
86443,86443,2766117,Katrin78,2021-01-10T17:42:30.068Z,frei sein,64,80,0
86363,86363,3421978,piffpuffpaff,2021-01-12T20:00:57.904Z,anonymer geheimagenthttpkassandra2040wordpresscom,9,2,8
49771,49771,6599703,Peakvibration,2024-04-04T06:29:13.485Z,thanks to gab support for restoring my old account nightwish,13,47,50
47415,47415,1859259,Ronalddperry,2020-11-11T15:35:36.288Z,constitutions say we the people not we the governmentppcfree thinkergod love and peace respect one to the other purebloodim real you be realtrump is the president,149,180,15866
22602,22602,79245,myopinion,2016-11-22T01:46:04.000Z,i might disagree with your opinion but im willing to give my life for your right to express it voltaire,3511,1684,111278
66382,66382,5905564,Richardrobin415,2022-04-22T21:59:56.785Z,this the seagull looking down like an eagle,160,423,3
44673,44673,404703,Classiccom,2018-02-13T00:21:02.000Z,think for yourselves and let others enjoy the privilege to do so too evelyn beatrice hall,5,16,1
96213,96213,129573,HolidayInn,2017-01-07T14:14:40.000Z,noticer sensible centrist shitposting for the kidsand may all your christmases be white,165,257,755
67733,67733,6543246,KAborawi,2023-12-20T01:59:46.374Z,nothing els matters,5,94,3
59898,59898,6051276,tashiasilVA,2022-08-27T09:25:37.531Z,ive always wanted to try a fantasy where someone covers me in chocolate or whipped cream its not too much to ask for is it,0,93,1
