,Unnamed: 0,id,username,created_at,note,followers_count,following_count,statuses_count
92530,92530,321952,johnpatriot,2017-11-24T02:59:37.000Z,all censorships exist to prevent anyone from challenging current conceptions and existing institutions george bernard shawatlas shrugged should be required readingmaganative texanmolon labe mf,811,863,2861
3255,3255,3539443,popecrazysquirrel,2021-01-13T17:35:11.433Z,songwriter drummer reclusive texan,212,318,522
40548,40548,131128,WTFWurUThnkn,2017-01-08T20:13:10.000Z,portrait artist httpwwwpennerfineartcom httpsviacccatruth integrity and justice for allthe darkest places in hell are reserved for those who maintain their neutrality in times of moral crisis~dante alighieri,744,376,45165
49081,49081,1751507,EuropaGlory,2020-10-31T10:05:19.961Z,stop antiwhiteism,20,317,214
33492,33492,5238246,Trimm_The_Sage,2021-07-26T23:03:25.577Z,equalopportunityhaterformally known as trimmtheincorrigible was banned for making most based death threats but i promise boss man a i will be good this timememe wizard since 1999proud nonuser of twatterheathen berserkerhumor memes are life mericaif i dont upset you or make you laugh im not trying hard enoughits a joke not a dick dont take it so hard trimm the sagehail smod,510,327,4880
28511,28511,6320389,Johnoconnor32,2023-05-08T13:34:41.032Z,united states armyfour star general we fight to protect our nation as peace and love is all we needmay god bless america,53,268,18
11836,11836,3639391,SasquatchWallows,2021-01-14T13:57:20.653Z,bacon is proof jesus loves you and wants you to be happy httpssasquatchwallowscom,1310,1589,826
93647,93647,1499059,Wiresworld,2020-05-28T07:00:00.246Z,in theory there is no difference between theory and practice in practice there is yogi berratrump won christian value for value wwwwiresworldnet unwired executive producer noagenda executive producer,623,325,12569
28331,28331,1548489,Kram6231,2020-06-22T19:59:45.664Z,texan permanently banned from nazibook maga trump supporter conservative truth seeker pro 2nd amendment there is no 1st without the 2nd god~guns~country pedojoe aka pedo peter per hunter is not my president not my pedophile impeach 46 bullets for pedophiles dead pedophiles don t reoffend pureblood dna intact your mask your vaccines your lockdowns,3330,3614,34919
43513,43513,922869,Muadib32,2018-12-06T20:13:29.000Z,god country and guns maga twitter = toddhellan40862 truth social = cosmos323232,227,240,1356
92132,92132,260038,DE-Nazi-AKA-DA-Troll,2017-09-06T11:22:11.000Z,god hath given liberty to man is eternal vigilance which condition if he break servitude is at once the consequence of his crime and the punishment of his guilt scribing shit on the net john philpot curran,591,680,5912
56499,56499,2104233,prettysure,2021-01-08T00:30:00.361Z,semiretired rn christian conservative humanitarian single mom trump supporter health and fitness nut,46,67,322
62730,62730,1974169,Nelly320,2020-12-09T03:56:50.660Z,servant of god wife to scott mother to four beautiful daughters grandma to seven adorable grandchildren christian libertarian,257,354,3394
89971,89971,593610,pjmuk,2018-08-15T17:23:33.000Z,leave it to the left to come up with an orwellian concept that muzzles free speech stifles free thought suppresses free choice and then claim that it frees you,226,101,11028
1954,1954,6416095,LeonaWaitiDeYehsua,2023-08-10T09:21:53.265Z,just a messenger,983,2677,9980
74613,74613,6607178,Rugby4,2024-04-26T20:37:13.470Z,4 or 5 either way let s scrum play to the whistleconstitutionalist staunch og patriot husband father grandfather retired military 5 years w sofprolife healthcare providerantimarxist anticommunist antiantifa scum antiwoke antidei aka die antiabortion antirace hustlerpro 12apreferred pronouns fafo,2,82,45
25058,25058,1213538,invert,2019-07-27T16:54:26.152Z,we are born to fight and to die and to continue the flow the flow of our people robert j mathews,517,272,4833
19131,19131,3411489,Ott1217,2021-01-12T18:55:19.870Z,america 1st usmc vet pro 2a maga,1069,651,6263
63968,63968,697850,Viper1,2018-09-01T05:41:47.000Z,viper1 usa first trump 2024 conservative teach hardcore selfdefense firearms instructor no nonsense leo psychologist no pc filters here i tell it like it is if that hurts your feelings too bad work on your coping skills banned from twitter fakebook for telling the truth about useless masks and deadly vaccines,2217,610,75976
31196,31196,5125451,Infowarsisawesome,2021-05-18T02:55:58.304Z,a follower of infowars for many years live in se kansas,93,248,170
88494,88494,3170723,mojojoot,2021-01-11T17:16:01.552Z,american state national north carolina jural assembly member husband and father of three girls,117,6,1864
50068,50068,387660,evrtxn,2018-01-15T21:49:57.000Z,west texas born raised and yes i did pick cotton bale hay and all the farm stuff white and proud conservative army vet living in connecticut now but yall can take me out of texas but you cant take texas out of me,554,684,2123
44214,44214,2614298,JaniceMOD4,2021-01-10T09:22:11.674Z,fresh from twitter trump supporter brexit old enough to know when i m being lied to no to nwo,750,890,5743
23665,23665,1619782,PureBloodDave,2020-08-27T11:34:59.714Z,biking hiking kayaking boating scuba diving ham radio foraging enthusiast,57,99,1136
67239,67239,3814370,3_2_midnight,2021-01-17T02:25:31.400Z,born again in jesus bible is gods word retired trucker of many years dad grandpa inquisitive husband of julie for 21 years patriotic america first trump supporter vaxx will be returned with vaseline pro 1st 2nd amendments america beautiful hates communism does not condone violence or racism constitutionally law abiding prayer for everyoneanytime no crypto im not looking for an on line girlfriend you wont scam money from me,482,448,3017
68459,68459,6254985,Danishkate08,2023-03-02T16:13:30.429Z,life is beautiful,43,150,1
14772,14772,934701,OccupiedSouth,2018-12-12T20:51:00.000Z,female southern warrior still fightin yankees scalawags and carpetbaggers no offense to salt of the earth northerners unapologetic advocate for western civilization and culture,285,527,1389
57847,57847,72755,BeingMoody,2016-11-21T14:01:37.000Z,i know you wont believe me but the highest form of human excellence is to question oneself and others socrates,438,257,156
92559,92559,3623906,GeraldHale,2021-01-14T10:11:32.830Z,conservative christian and want to make new friends,153,206,254
100870,100870,4413827,VickiePiusSullivan,2021-02-06T20:13:06.707Z,granny to asher an inquisitive bright funny 5 year oldmember of abundant life church of god in wyoming mi,355,9,11137
35340,35340,5903769,Leigh235,2022-04-21T13:12:23.126Z,am just myself and also newly trying to make some new friends on here,8,73,7
5392,5392,5277743,B_Young,2021-08-11T02:52:48.308Z,i have been banned from many sites for honesty i have lost loved ones to the ziocommunist agendas i will not comply with any agency governing body department nor authoritarian i repeat i do not comply choose life or choose deathguess which one theyre sellingideologies more often turn people towards their worst the freedom to choose is nonnegotiable i dont care what agency or department youre with my political party is none theyre all a burden to life itself,308,443,2259
60540,60540,3034645,SarahBAHaven7,2021-01-11T08:29:30.664Z,lives in australia i am a committed christian been following us politics since just before the 2016 presidential election president trump is gods man in the white house a modern day moses,968,1260,5365
63777,63777,350572,SprayCanAnn,2017-12-19T13:58:21.000Z,plot twist,307,362,248
54359,54359,1201,YJewelle,2016-08-20T22:16:09.000Z,proudly conservative,1384,1393,298
72281,72281,6152655,MARTINCOLT,2022-11-17T07:57:05.275Z,martincolt is a registered talent acquisition organisation based in india,2,14,12
77972,77972,5790150,kautilyanitii,2022-02-23T05:45:39.670Z,news ours opinion yours,17,36,34
651,651,196870,u2bheavenbound,2017-06-28T01:45:32.000Z,1821 twitter deleted u2bheavenbound profile 34k followers 12221 new u2b twittercombeheavenbound6321 youtube terminated u2bheavenbound reinstated 101721 youtubecomu2bheavenbound u2bheavenbound here on gab is back up channel current events breaking news connected to bible prophecy seeking truth last days end times subscribe u2b youtube youtubecomu2go2heaven youtubecomu2bheavenboundwarrior youtubecomu2seektruthnew u2b youtubecombeheavenboundsubconfirmation=1,13175,8988,12404
81388,81388,1539643,Infinity55,2020-06-15T02:03:36.731Z,first i am an unapologetic christian second proud successful nigerian american third avowed republican and undying supporter of president trump published author healthcare management and leadership doctorate degree holder a lie of the left that only high school dropouts support the president linkedin account restricted twice in one month for my political views,26,46,11
90476,90476,69699,ALilJaded4u2,2016-11-20T20:47:23.000Z,it development american woman technophile i ignore distractionstories used to hide truth proudly neverhillary americafirst apache navajo,1073,956,415
85996,85996,1977881,Emelcee,2020-12-09T20:17:25.729Z,when we all stand tall we shall rise,648,71,21257
97129,97129,9568,GlomarResponder,2016-09-05T02:34:31.000Z,ambassador of hate one of them according to jay cost at tws english espan ol franc ais deutsch gua n hua im no hero never was im just an old killer hired to do some wet work,1721,934,139
1693,1693,2205873,JemiaGrace,2021-01-09T06:45:59.812Z,christian mother purple grandma teacher doggo lover kitkat lover american gardener love my country,601,736,8672
26381,26381,6404846,Accessclinton_T,2023-07-29T20:08:54.757Z,us soldier a proud american and this well defend,70,335,0
7473,7473,367843,doubtingme,2017-12-26T14:32:10.000Z,those who are able to see beyond the shadows and lies of their culture will never be understood let alone believed by the masses plato for we wrestle not against flesh and blood but against principalities against powers against the rulers of the darkness of this world against spiritual wickedness in high places ephesians 612we sleep safe in our beds because rough men stand ready in the night to visit violence on those who would do us harm george orwell,2812,2917,33482
34654,34654,3234961,penny21,2021-01-11T22:17:01.974Z,patrioticdogs best friendanimal lovermusicianbbq connoisseurlets have a laugh and sing a songsow the wind reap the whirlwindplease no more man buns,235,328,4791
60423,60423,4869870,govwenu12,2021-03-13T22:19:10.375Z,from texas,14,30,1228
16745,16745,4208627,Gatsby1013,2021-01-31T02:05:04.321Z,i was a red girl in a blue statenot anymore,1122,491,35886
76734,76734,2198051,SureThingBing,2021-01-09T05:44:15.807Z,any attempt to ban or silence me will be met with countless suponeas from the fbi agents assigned to monitor my online presence,35,117,20
98349,98349,3152707,bobb3950,2021-01-11T16:18:10.225Z,years ago i took a solemn oath to protect and defend the constitution from all enemies foreign or domestic although i no longer wear the uniform my commitment to that oath is still strong and firm,75,13,7260
