,Unnamed: 0,id,username,created_at,note,followers_count,following_count,statuses_count
81687,81687,213921,Bridge2Yesterday,2017-08-11T17:14:31.000Z,if liberty means anything at all it means the right to tell people what they do not want to hear george orwell,0,6,9
92410,92410,1619,swagbymilo,2016-08-21T21:25:58.000Z,the official clothing line of the worlds most fabulous supervillain m,1687,1,6
7274,7274,3671617,bremerg73,2021-01-14T22:12:26.491Z,navy submarine vet who loves his country will follow all back all veterans believer in jesus christ constitutional conservative helped build curiosity rover active member of the nra member of the american legion in wyoming,1687,2822,11082
57438,57438,3629811,CorralusBob,2021-01-14T11:53:33.151Z,snake lover,123,253,22
42176,42176,5864432,TruthQueen,2022-03-25T19:09:09.644Z,christian conservative crypto enthusiast maga,125,191,1291
49810,49810,64680,brianconnolly,2016-11-20T12:57:14.000Z,uppity ultracrepidarian oppressed old white male no juice on ice no piece black olives matter,77,243,10
33400,33400,6395349,phiplewos239,2023-07-20T10:18:03.234Z,curious explorer embracing lifes wonders with creativity and compassion avid learner nature enthusiast and advocate for positive change,5,54,7
40489,40489,6387904,snowwwhite8,2023-07-13T02:40:34.962Z,in a race to save our race,50,86,45
74853,74853,6153422,ElizabethChristine,2022-11-17T23:47:26.985Z,im a married professional bitcoin miner and senior manager in coinbase,19,136,4
37992,37992,5794306,Michelletillman553,2022-02-24T18:17:41.290Z,hoping to meet people of great mind,100,203,77
65334,65334,3509132,obxcape,2021-01-13T10:52:04.735Z,tarheel by birth palmetto state coastal resident notre dame football fan beat michigan carolina tarheel basketball fan beat dook 100 maga supporterpotus trump will rise again patience,159,466,411
100619,100619,787651,Tditty,2018-10-08T21:31:29.000Z,defeat the bipartisan establishment with truth,134,24,5143
12068,12068,3138731,GDLock520,2021-01-11T15:35:33.494Z,have fun with my posts if you don t like them feel free to shove them up your damned ass,3920,3890,94
90690,90690,2185494,Fishingnanny,2021-01-09T04:17:21.205Z,beloved child of god wifemom and grandmother who enjoys fishing pro trump love our country,129,65,799
82276,82276,1258842,test_bot,2019-09-07T06:18:51.726Z,account used for bot development,59,120,0
47880,47880,3092948,Wooddoc,2021-01-11T13:07:58.167Z,through christ who strengthens me,55,135,209
101246,101246,564438,DERFELOL,2018-08-06T20:17:52.000Z,there was a young sailor from brightonwho said to his girl youre a tight oneshe replied bless my soulyoure in the wrong holetheres plenty of room in the right one,79,160,639
67139,67139,6351034,NYmagazine24,2023-06-07T22:46:29.096Z,new york magazine 24 is a global news websites our most important role let you know about the world by the entertaining way visit please httpswwwnymagazine24com,2,16,15
