,Unnamed: 0,id,username,created_at,note,followers_count,following_count,statuses_count
4902,4902,979874,SohneOdins88,2019-02-10T23:56:54.000Z,aryan jawbreaker fren hitler was right did no wrong 1488 you chose this life you have to own it ktfk cnoc aingeil ni mi e mas urrain dhomh spes anchora vitaeeuropa the last battlehttpswwwbitchutecomvideos1npydj7kbeqthe greatest story never toldhttpswwwbitchutecomvideomzpejksnjca3hellstormhttpswwwbitchutecomvideo17nypwabfsmuquestioning the holocaust why we believedhttpswwwbrighteoncom27c3012973c649bd93054e872e12httpwwwrsdborg,504,525,8436
101945,101945,1220362,tuliparbitrage,2019-08-02T18:07:26.501Z,wann zerschmettern wir endlich die hochfinanz,21,17,71
59584,59584,4552532,antemodernist,2021-02-11T19:58:16.333Z,i m a christian husband and father and i blog about current events philosophy religion politics and history at httpsantemodernistwordpresscom,228,54,3746
57085,57085,5332542,Melissa4570,2021-08-31T06:17:22.862Z,never look down on anyone or judge a book with his cover,238,424,88
79668,79668,4694230,Karmadrone,2021-02-22T11:08:29.757Z,welcome to biopolitics,47,44,1239
91660,91660,1372589,restrictedrepublic,2020-01-23T11:52:59.276Z,wwwrestrictedrepubliccom news for those that want truth unfiltered and uncensored lisa haven and justus knight host news that socialists communists globalists and radical left hate,2669,4,284
49780,49780,5994547,Yewgirlz,2022-07-14T03:59:01.071Z,followingunlock your fashion potential hey there we are offering lots of affordable womens fashion accessoriesdiy jewelry ideashandbags luggages ideassandals heelsyou can improve your self confidence by using a very little fashion ideas tm,8,13,125
86826,86826,424969,Visigothic,2018-03-02T01:40:41.000Z,attention visigothic pagewe have lost even more recent data and continue to do so all of 2019 some older dropsdecodes can be seen only in media we are not qjust anonswwg1wga,363,77,1668
67911,67911,5160847,Danielfrantz,2021-06-10T08:45:44.335Z,a natural born german american i will do whatever it takes to preserve all the rights that this beautiful country has so generously gifted me with silenced by twitter for speaking the truth i do not agree with what you say but i will defend to the death your right to say it divorced,497,701,428
51617,51617,5655766,HintonJones987,2022-01-09T22:12:46.059Z,nature and pet lover,43,98,5
48825,48825,4565268,NorthernStatePatriot,2021-02-13T03:34:27.723Z,maga,543,1051,38
47320,47320,6435023,Anthonyvalde367,2023-08-28T16:18:30.622Z,some of the smartest dummies can t read the language of egyptian mummies they plant a flag on the moon but can t find food for the starving tummies as a racer you must be mentally and emotionally fortitude to stay focused during a race,16,77,2
90159,90159,6493753,defythegrid,2023-10-26T16:42:17.322Z,the lowcost gold and silver company,14,5,9
31972,31972,4599798,SuicideKid,2021-02-17T11:54:54.325Z,will not die will not give up,4986,9601,12622
86701,86701,5720319,Tannadycestrathmore,2022-01-30T18:59:57.497Z,under the advice of legal counsel i decalre that the entire content and attachments of any and all of my posts are for the purpose of entertainment and that i do not vouch for the veracity of the content furthermore i in no way waive any and all of my rights as a free citizen to any individual group agency or government or any other entity and that the use of any of the content posted by me for any purpose other than personnel entertainment is not granted and i have not produced any of the,514,18,68422
50892,50892,2520889,Grunge777,2021-01-10T04:57:15.393Z,jesus pittsburgh sportspirates steelers pens pitt,85,175,7
93653,93653,474057,SaskatchewanIndependance,2018-03-31T12:53:41.000Z,i know you wont believe me but the highest form of human excellence is to question oneself and others socrates,25,3,0
72165,72165,454136,Vino0925,2018-03-21T09:56:57.000Z,save america free speech,595,1106,3767
51495,51495,5407730,pastorkade,2021-09-30T20:50:56.221Z,kade young is an apostle of jesus christ who has been called to write quick reads to the church that produce godsized results he leads nolimits church equipping believers with great boldness to work miracles like jesusmost importantly kade is husband to beth and a blessed father of five the young family are newbie farmers learning to raise sheep cattle and chickenshttpskadeyoungcom,4527,55,351
68201,68201,894326,CasuallyClassy,2018-11-24T00:31:45.000Z,im cherie honorintruth on twitterjesusfirst trump2020 1a 2a nra supportourveterans backtheblue neverforgetbenghazi prayforourtroops kag godblesstheusa kag2020,63,77,33
412,412,188706,Ralph13,2017-06-06T20:36:30.000Z,censorship is saying im the one who says the last sentence whatever you say the conclusion is mine ai weiwei donttreadonme the treasonous acts of the traitors the marxistdemonrats enemies of the americanpeople and their freedom and liberty under the usconstitution ignoranceisnotbliss it has enslaved nations by tyrants throughout history wakethefckupusa savetherepublic2021 libertyordeath savetherepublic2021 marxistdemonratlemmings better tread very lightly,4846,5639,108511
1593,1593,6327289,Love_Dating_Relationship,2023-05-15T13:10:31.792Z,love is not finding someone to live with its finding someone you cant live without,33,834,190
23195,23195,2875285,SplinterJE,2021-01-10T23:04:57.800Z,christian wife mom of 27 yr old son killed by illegal mom of 2 daughters nanny still always will love trump because i love my country,641,726,1024
84363,84363,388418,NegevRespector,2018-01-16T15:02:07.000Z,there was times when people would burn books because they didnt like what people were doing michael berryman,6,2,1
40588,40588,2917829,Iweck,2021-01-11T01:08:04.002Z,my name is not my ownit is borrowed from my ancestorsi must return it unstainedmy honor is not my ownit is on loan from my decedentsi must give it back to them unbrokenmy blood is not my ownit is a gift to generations yet unbornwe should carry it with pride responsibility a people without a culture exclusively their own will parish 14 words ohttpseastcoastknightscom national hotline 7176592256,343,341,789
89320,89320,5930190,nanochip,2022-05-12T13:24:10.423Z,httpsodyseecomnanochiphttpsmewecomgroup624a76805b50fb6b28a2cbc1httpsgabcomgroups61708,13,2,221
63608,63608,2984620,Monardal,2021-01-11T04:23:30.616Z,born again christian jesus is my savior constitution loving patriot,70,105,404
23612,23612,1097775,LynxGabber,2019-05-07T00:06:07.000Z,gabby when i saw how that by all occasions rebellious israel had played the harlot i cast her away and gave her a bill of divorcement yet her rebellious sister judah was not afraid but she went also and played the harlot jeremiah 38,5820,121,23013
66066,66066,6012712,MothersofJewels,2022-07-30T11:54:46.014Z,sapphire earrings natural ruby zoisite yellow sapphire gemstone earrings 925 sterling silver earrings micron gold plated for women,75,166,20
27851,27851,1197267,Dragonfly111,2019-07-17T06:53:23.966Z,give me liberty or give me deathi am who i amyour approval is not required,150,185,567
100647,100647,2956906,Mrsjungledonkey,2021-01-11T03:05:45.753Z,saved by grace,56,105,1758
31347,31347,6474148,JillMSandoval,2023-10-07T01:42:52.981Z,buy paypal accountsbuy verified paypal accounts in 2023 usa uk ca photo id verified accounts we have the cheapest paypal account available in our store,5,13,6
23963,23963,3792426,SandraBrechLorenzen,2021-01-16T19:07:18.855Z,digital soldier,274,494,827
6367,6367,5197400,xmench,2021-07-04T18:26:30.718Z,xmench gmbh is an it trading company based in engwilen and has been supplying private and business customers with over 65000 items from the areas of hardware and software as well as consumer electronics photo video products and home electronics since 2013 httpswwwxmench,88,343,85
43463,43463,1672867,Pulse,2020-10-03T23:36:02.203Z,top organic lifestyle brand creating the best face and body products and services ancestral wisdom meets intentional science kick big skincare to the curb look good be good do good pulseoflifeco check out our life coaching at the httpswwwthepurposelifethepurposefbclid=paaaz0uu4jqvegji9kxmuth2llgi3yegekmvdukl0scnjkxoqzriqphfbtasaemaseq6hbbdxgly9dic0nvmxkflelzgcgw8qjh6vo9xuq8rz9p4faefsbxkjn2wyrwau,22,31,181
92917,92917,4054611,KristaAloy,2021-01-23T17:19:23.155Z,theres always been a plan and we may not know their path to win this warbut faith will guide us this nation isnt just divided we are living in two different realities,18,73,3
39877,39877,6645897,AliceSandra0022,2024-09-08T17:39:16.854Z,i m here for serious relationship with responsible man,0,36,0
37027,37027,6670423,Shevchenko99,2024-11-29T17:27:50.880Z,i am a soldier of the ukrainian army i fight for my people for our freedom for ukraine,2,9,9
11932,11932,902458,NepRoFlo,2018-11-26T23:36:30.000Z,dispatches from the north,459,874,2046
35103,35103,6164567,KrystalRamsay,2022-11-28T18:20:47.516Z,eating healthy and staying active trying to encourage others,27,65,110
21202,21202,18242,jartaylor,2016-09-22T16:43:24.000Z,editor of american renaissance author of white identity and if we do nothing,16003,6,784
19708,19708,1933606,PuddinSkins,2020-11-25T04:20:05.053Z,pronouns poobum my butts been wipedconstitutionalist father husband grandfather christian and veteran i used to be blind when i was young and now i see the lies our government used to get us into war i believe god inspired our constitution bill of rights and the declaration of independence avid gun owner dm me if you need help building your ar15,331,566,3184
15078,15078,3072196,deLafayette,2021-01-11T11:51:22.407Z,french patriot of the free world,1601,1536,76782
137,137,77475,Tenty,2016-11-21T20:09:16.000Z,patriots always talk of dying for their country but never talk about killing for their countrydont drink the kooladetenty attentive watchful,1128,1953,6314
30236,30236,40955,NAndrewBland,2016-10-26T01:06:14.000Z,the difference between victory and defeat is not one of ability but of action the magic gift is nothing more mysterious than doing what you don t want to do when you don t want to do ithttpsvalormilitarytimescomhero34124,916,828,319
33509,33509,906655,brandibayy,2018-11-28T00:27:16.000Z,obstacles do not exist to be surrendered to but only to be broken,341,532,542
69244,69244,369228,SuperJohn100755,2017-12-27T22:23:15.000Z,if liberty means anything at all it means the right to tell people what they do not want to hear george orwell,778,664,13139
65941,65941,5946636,bellawilliams911,2022-05-26T14:16:34.088Z,crypto expert trade with 3000clients,20,105,2
24870,24870,2378456,BenECasey,2021-01-09T21:55:58.013Z,born the day before the beginning current living my body will probably one day die stopthesteal kag maga stopsystemicvoterfraud,524,711,4586
49232,49232,159807,sweetrachel,2017-04-19T17:17:49.000Z,i love jesus christ i love my husband i love my children and i love my dogstexas homeschooling mom i like to sew cook and garden when i have time,144,123,830
65205,65205,2044959,MarneyD,2021-01-01T20:25:32.075Z,everything ive ever said or will say in any comment section forum chat room or any other reasonably similar online or otherwise community is strictly academic andor theoretic in nature explicitly not to be taken as a threat admission proof or otherwise agreement of any threat admission proof or otherwise in agreement with any illegal act,184,360,2118
16271,16271,3048403,Gnostic_Cat,2021-01-11T09:52:46.361Z,meow,316,772,3199
1495,1495,370136,donsdeals,2017-12-29T01:41:07.000Z,i dont chat im a retired ford worker worked hourly out on the floor i saw a link on fb about gab and followed it i have found a new home so far everybody has been social and very helpful happy to be here where conservatives arent trolled or even suspended like on fb twitter i dont chat,4724,5325,36491
19059,19059,5056998,merican_honkey,2021-04-19T17:08:23.932Z,id rather you hate me for who i am than love me for who im not pure bloodbiker patriot bible believer dissident realist lil bit of redneck white and unapologetic and if the truth be told i cant stand a racist you do you ill do me if i aint ashamed to think it i aint ashamed to say it 100 scandanaviannordicturned 18 in the mid 80s gen x to the core keep your stupid boomer insults for yor mother all of my words actions posts and replies are for entertainment purposes,1233,1119,38835
25151,25151,2746356,Uush,2021-01-10T16:34:40.943Z,limbo van geboorte hollander in hart ziel vrijheidsaanhanger voor ons allemaal,353,648,1024
96662,96662,3608882,Leezal,2021-01-14T05:41:45.004Z,i dont believe in taking life too seriously and believe the msm even less,94,85,345
13006,13006,1710521,Newgolddream,2020-10-19T14:20:57.028Z,member of the church of christ i grew up in maine have lived in florida ohio and maryland jesus is king pureblood and proud america first vets before illegals stop the antiwhite movement,399,485,1266
2369,2369,4403568,NettaM67,2021-02-06T17:28:22.316Z,senior citizen female who is sick and tired of the bullshit i will never apologize for being white,568,303,17884
34495,34495,5820291,Magus2k,2022-03-05T02:58:52.886Z,lifelong patriot,3,35,1
84413,84413,2210251,CartoonCanuck,2021-01-09T07:24:50.207Z,a canuck sick of the msm narrative truth seeker wwg1wga,92,59,2791
47560,47560,4012459,psraff,2021-01-22T02:12:28.206Z,playing with rumblehttpsrumblecomcc627167,101,101,3313
67963,67963,6434176,Monica1620,2023-08-27T23:43:56.019Z,i am a hopeless romantic and always strive to believe in the good within everyone im straightforward about my needs and honest when i feel hurt i am looking for an equally positive partner who loves to try new experiences and is a great and open communicator,1,32,0
24154,24154,1297164,makaheka,2019-10-30T15:32:32.117Z,patriot 100 deutsch germany first unterfranke metalhead slayerfan pro deutsch afd trump fuck antifa linke gruene bei twitter noch unter selben namen gab = keine zensur,138,168,437
93935,93935,787505,Damanator14,2018-10-08T20:05:51.000Z,you know who i am,1451,40,127
46541,46541,2328371,DanMack1,2021-01-09T18:06:47.822Z,1 corinth 1514 ephesians 113 14 trump2020 back the blue love the buckeye state freedom lover i fb all patriots married to crankymomma221 no dms,531,772,283
78840,78840,15101,dac,2016-09-15T15:34:52.000Z,governments first duty is to protect the people not run their lives ronald reagan,244,193,119
45098,45098,5459790,Ribborian,2021-10-15T16:18:44.331Z,and i am sure of this that he who began a good work in you will bring it to completion at the day of jesus christ,587,18,12641
62125,62125,6184881,WeierBr,2022-12-18T20:15:29.197Z,nothing to report,2,9,11
61827,61827,769135,Davehc,2018-09-30T02:52:07.000Z,christian constitutionalist 2a prolife maga qanon wwg1wga ifbap,1012,528,20606
86514,86514,3710672,Red_3_6_9,2021-01-15T09:53:36.897Z,swiss patriot trump2020 from dark to light make the world great again maga2020,20,30,17
83673,83673,3448629,MikeTolhurst,2021-01-12T23:17:00.259Z,my cover is so deep not even asio knows im working for them,24,11,297
56866,56866,6699571,Spookwolf,2025-03-04T12:34:43.890Z,those who know me know me god bless,47,45,1278
