,account_id,content
85,2073915,"rip hulk hogan! hulkamania is still running wild, brother. much respect to lori brock! she shows courage and integrity in the face of corruption, greed and harassment. mi gov and sos are evil, greedy virtue signaling that he was protecting ca while sticking ca businesses with the bill. so on point for the toxic, pos governor, gavin i'm not a fan of country music, in general. but, this song speaks to me. take a why is america so behind the starting to like country music a little bit more with songs like this. this song resonates with me. take a listen. i'm putting this on my playlist!"
113,2718503,@nature_and_race i came across the clip of muhammad ali in an interview and he explained how he feels about this topic and why. it s one of my all time favorite clips because i admired ali for his athletic ability and his intelligence. in my life i favor his point of view on mixed race relations. what other people do is none of my business.
183,5827793,"jobs report disaster: holy downward revisions batman! powell goes hawk, big tech beats, drinking from the tariff firehose india hit with 25% tariffs, august 1st deadline looms ups, whirlpool in trouble as market looks to big tech earnings us reaches trade deal with european union ahead of big week"
364,6327558,"""how deep the father's love"" hymnhow deep the father's love for us, how vast beyond all measure,that he should give his only son to make a wretch his treasure.how great the pain of searing loss; the father turns his face away,as wounds which mar the chosen one bring many sons to glory.behold the man upon a cross, my sin upon his shoulders;ashamed, i hear my mocking voice call out among the scoffers.it was my sin that held him there until it was accomplished;his dying breath has brought me life  i know that it is finished.i will not boast in anything, no gifts, no pow'r, no wisdom;but i will boast in jesus christ, his death and resurrection.why should i gain from his reward? i cannot give an answer.but this i know with all my heart, his wounds have paid my ransom."
424,5874757,"zur vermutlichen letzten sitzung der @fdpbt in dieser legislaturperiode, blicke ich auf vier spannende jahre mit meinen kollegen - gerade aus dem #verteidigungsausschuss - zuru ck. etwas wehmut ist gepaart mit zuversicht die arbeit ab dem 27.9. mit ru ckenwind fortsetzen zu ko nnen. #niegabesmehrzutun #faberhaft today i spoke to general vetter, head of the cyber   and information technology department, over delicious pastries. the #special fund will also accelerate and secure the important digitization projects of the #bundeswehr. polen feiert heute seinen verfassungstag    vor 230 jahren entstand in #warschau die erste moderne verfassung europas. der stolze moment der verku ndung wurde sogar als puzzle verewigt und daran hab ich mich mal versucht, wie ihr hier seht.doch blo e erinnerung reicht nicht aus: in der heutigen republik massive day at work as always, the most important findings from me directly after the committee meeting. good morning"
506,2984877," john henry newman s the idea of a university:  knowledge is one thing, virtue is another; good sense is not conscience, refinement is not humility. . . . it is well to have a cultivated intellect, a delicate taste, a candid, equitable, dispassionate mind, a noble and courteous bearing in the conduct of life. these. . . are the objects of a university.   at least 200 american colleges and universities illegally withheld information on approximately billion in undisclosed contributions from foreign regimes, many of which are authoritarian.  network contagion research institute/ the free press "
568,740589,"djt: is the goal to clean out the draconian termites  nest under the region & rebuild gaza for the palestinians? many think it is to provide lebensraum for israel. djt does not show his hand to opponents until he can play the trump card. let it be for peace & freedom for all people.   senatus consultum. what oath are these us generals, politicians, business & religious leaders taking to this elite eu group?"
733,1677672,"""every thoughtful citizen who despairs of war and wishes to bring peace, should begin by looking inward--by examining his own attitude toward the possibilities of peacewhat kind of peace do i mean? what kind of peace do we seek? not a pax americana enforced on the world by american weapons of war. not the peace of the grave or the security of the slave. i am talking about genuine peace, the kind of peace that makes life on earth worth living, the kind that enables men and nations to grow and to hope and to build a better life for their children--not merely peace for americans but peace for all men and women--not merely peace in our time but peace for all time.i speak of peace because of the new face of war. total war makes no sense in an age when great powers can maintain large and relatively invulnerable nuclear forces and refuse to surrender without resort to those forces. it makes no sense in an age when a single nuclear weapon contains almost ten times the explosive force delivered by all the allied air forces in the second world war. it makes no sense in an age when the deadly poisons produced by a nuclear exchange would be carried by wind and water and soil and seed to the far corners of the globe and to generations yet unborn.today the expenditure of billions of dollars every year on weapons acquired for the purpose of making sure we never need to use them is essential to keeping the peace. but surely the acquisition of such idle stockpiles--which can only destroy and never create--is not the only, much less the most efficient, means of assuring peace.i speak of peace, therefore, as the necessary rational end of rational men. i realize that the pursuit of peace is not as dramatic as the pursuit of war--and frequently the words of the pursuer fall on deaf ears. but we have no more urgent"
749,30660,"feeling overwhelmed by the news? here is a tip to cut the number of articles you read without being any less informed.quickly skim the summary or opening paragraph for keywords indicating a future tense. ""will be"", ""soon"" ""next week"" and skip them. if the event promised or predicted actually happens you will get to read that article and perhaps dozens more about the aftereffects. on the other hand most of the future cast stories are just filler in the news hole.example: politician does the cable news circuit talking about what they will do, a bill they plan to introduce, etc. unless you are in the drafting process you don't have to care, it is usually just talk anyway and nothing will actually happen. if it is actually introduced you might want to post or write letters in support or opposition but some moron blathering about what they might or might not do ""later"" isn't news you can use.same for all these scandals. every day we get ""kabooms!"" that don't really mean anything yet, the stories are all about ""shocking reveal"" coming soon that will mean something later. not news you can use because later never comes. if ""later"" eventually comes, that is news you need to read and care about.seriously. mike lindell released ""absolute proof"" how long ago? raise your hand if you watched it. but everybody is still pushing ""kaboom!"" stories every day about the ""shocking new evidence soon to be revealed that will change everything."" so the ""absolute proof"" wasn't in fact absolute? yeah, the math was incontrovertible. didn't matter. but they have news cycles to fill, podcasts to grind out, etc.tune them out and get back a lot of time for self improvement. or time to figure out an actual game plan instead of this current delay and pacification campaign."
804,5200677,"i am the light of the world, says jesus. come follow me. psalm 106give thanks to the lord for he is good. psalm 138lord, on the day i called, you answeed me. feast day of st joachim and st. anne- parents of our blessed mother mary. have faith and trust in god in all circumstances. do you believe in free speech?if so, speak out for julian assange.#freeassange from a friend: keep fighting for julian assange.#freejulianassangefrom a friend: the moment you are ready to quit is usually the moment right before the miracle happens.don't quit.don't give up.miracles happen. #freejulianassange #freejulianassange"
822,485646,"do you see this disgusting discussion? it didn t take place in europe 90 years ago, but is happening in the united states today. this group is excusing the holocaust, blaming jews for the genocide that the jewish people went through, and they re doing it proudly in front of the world. it s simply unbelievable the level we ve reached with the new antisemitism that even makes hitler a figure to admire.(yosef haddad)by the way - the host of this freak show is the renowned misogynist amrou fudl - an american sudanese who is so ashamed of his name that he changed it to myron gaines. his famous book is called  why women deserve less ."
