,account_id,content
26,6640078,"humbly, i have no religion. was raised with lots of love and ethics, but no religion. but as far as i am aware, the god i think you're bringing up is said (in the new testament) to love us all, but those who choose unethical or unworshipful behaviors.i agree on the ethics part, but it just seems egotistical to demand nothing but worship.as for ""invaders..."" they were paid to come here, and now are being managed by the hidden hand.i love all who choose their behavior within ethics. i find judging groups by things they cannot control to be weak and needing to feel superior to others. i judge individuals by whether they are ethical (keep the laws of ethics). lol! still hooked into the party illusion. seriously, it's all a performance on the cave wall (our screens), and just now they're making the ""parties"" look like one of them is good guy and the other bad guy, aiming for people to move to one party.plato told us that what we see is a play, that there are ""hidden hands"" that move the puppets and we see the show and not reality.escape the cave! (article): #truth #trump #future three elderly people beaten up by a mob. the color is irrelevant.. i have zero data with which to conclude this god exists... a book written millennia ago, with flaws and contradictions, is not what i would go to...i had my spiritual experience, and would not say you need to believe what i say. we each have our own path.and as for love... it is my love for humanity that keeps me working towards better on our planet for all of us, despite the fact that the moneyed psychopaths have me targeted and kept destitute. they brutalize humanity and i work against them.my latest in the effort to free humanity from the grips of moneyed psychopaths:we have been groomed to discount nature (article): i strongly suspect i am partially shadow banned... i know @a blocked me. lol! not sure what the stuff about the angry emoji is...? but it surely is sad that @a has no compassion for ones like me, who are targeted, elderly, disabled, denied assistance, lost everything, destitute, and homeless. i have nothing to pay him with, struggling to afford food on a social ""security"" payment not even 1/2 a studio apartment's rent.i thought christians were taught to have compassion... [shrug]. well, the 10 commandments suggest that... and countless ones have informed me that the only way to ""heaven"" is to worship that god. that if i don't, no matter what i do with my life, i will go to hell. that i could ""repent"" on my deathbed and no matter how unethically i led my life, i would be ""saved.""but no matter how ethically and with love and caring i led my life, if i did not worship that god, i was hell-bound.not that i believe that. but that setup sounds like the god has ego issues.. well... i'm not one to find humor in that... my brother was circumcised and we're european-mutt-with-native-american-on-both-sides. most male people in our area of our planet were back then, irrespective of lineage, religion, or affiliation. i am please to see another willing to make a stand! for me, it's not so much that i will not comply, per se, but that i will make a counteroffer rather than create a controversy by refusing...""i will be happy to [do that, give you that, whatever] if you prove i am in your jurisdiction."" as i do not consent to any ""authority,"" there is no proof.creating controversy (article): what? you attack people for things done to them as an infant? am i grasping this correctly?. and drop ourselves to the level beneath the beasts? i am an ethical one, and robbing others is not ethical. try them and if found guilty, mete ethical consequences.beneath the beasts! (article): insults and ad hominem are the signs of one who is weak. attack the data, not the messenger. anyway, please be off and leave me alone. thank you so much. lol! that's all you have? insult and ad hominem? i ponder the brain dead one here... hahaha! how do we tell the difference between metaphysical manifestation (prophesy come true) and moneyed psychopaths in control using scripture as a playbook, keeping believers doing nothing to stop them, just waiting for some other to come along and ""fix it?"" how does ""treason"" get applied to a for-profit corp(se)oration? btw, things make more sense when you grasp that it's all a production to manage us...they really are 1984ing us (article): what a play...with live props and participatory audience. plato knew...escape the cave! (article): why? because all the ones we see on that literal world stage are actors cast by the hidden hand, who wrote the script and direct from the wings. we have no say in that production. and if you doubt that, there is plenty of evidence of more than one person playing a role...can you gaetz which one is which? (article): #government #truth this is why i cannot consent to the whole psychopathic legal/governmental system. no one has authority over me that i haven't given to them personally in fully informed fashion.i have authority over you (article): stop consenting! (article): me as a sovereign here on ethical ground (article): the gentleone s solution (article): stop consenting! (article): me as a sovereign here on ethical ground (article): here to let everyone know about the ad-free, censorship-free platform, odysee! post videos, articles, and even"
63,2907519,@goodymiller your vote hasn't done anything your entire life. keep doing the same dumb shit and expecting different results. @vilnawillie oh he only offered you poison he didn't make you eat it... well then...the fuck is wrong with you people? @memphis1984 only problem is your orange god isn't deporting shit. on pace for less deportations then biden. just another promise broken. @systemicface your not back you simpleton. this is your 4 yrs in the cycle dumbass.
145,2252846,"in school they taught us that our heart is just a muscle.but, did you know that neuro cardiologists today are suggesting that 60-65% of our heart cells are actually neuro cells, not muscle cells. the hearts neuro cells are identical to the ones in our brain. they operate through the same connecting ganglia and they use the same neuro transmitters that our brains do. so, does this mean quite literally that your heart has thoughts?because of these heart thoughts, biophysicists are now saying that your heart creates it s own entire electromagnetic field. this electromagnetic field effects your brain by immersing it in whatever wavelength your heart is emitting. which translates to, your heart is literally creating the environment in which your brain thinks.it really makes you wonder, how much should we actually be listening to our hearts? could our heart be our super power, not just within but between each other? did you know that water is now on wall street? i feel like it just flew under the radar of all things 2020.this is very dangerous territory! i already have a vendetta against the nestles of the world. they steal our clean water, bottle it in petroleum products that poison our bodies and pollute our earth, and then sell it back to us.... but now, h2o is a freaking tradeable commodity for profit! this should alarm you!what is stopping them from poisoning and polluting water supplies as a business incentive. think about it! the more water that is contaminated and the less water that is available and clean, the more money you can charge for it.#fightthepower that's gonna be a lifelong ""nope"" for me. i prefer water anyway. for the record, i like the kind of water that flows, not the kind that is stolen and placed inside plastic that poison our bodies and pollute our planet. gfy woka cola  #boycottcoke #saynotocoke"
159,6035565,"cringe ""edgy"" patrick bateman (not a real schizo, not real name, fake and gay, directed by a woman)vschad jack torrance (tries to kill his entire family, is misogynistic and calls his wife a sperm bank, says nigger and almost has sex with a dead woman) @aalexh my mom walked in and laughed at this hope this isn't too disturbing lmao #art #artoftheday #artoftheday  #digitalart #agp #womensupportingwomen #gendercritical #transwomenarewomen#transrightsarehumanrights#transgender #suffragette #womenwontbeerased #lgbtq  #pride #transwoman #feminist #feminism #superstraight #mensrights #mensrightsactivist #mensrightsmovement #transgirl #transcult #transrightsmatter #transrights #superstraight #superstraightgang #superstraightpride #digitalart #transwomenaremen #transmenarewomen #sexnotgender #gendercritical #gc #shellpilled #lgbwithoutthet #getthelout #lgbtqia #lgb literally took a poll and said you were 17.5% in support of pedosliterally telling on"
163,5397625,"someone needs to ask this piece of shit why he s supporting william browder in his war and keeping assange hostage- as both of them were represented by him!!!! geoffrey robertson , his wife, knew assange is autistic. 1996. funny that. and that s what got him killed. there is no statute of limitations for treason. sine the feds are supposed to prevent a crisis, and the last 4 treasury secretaries have failed to boost a healthy economy, isn't it time to charge men with crimes who made billions in a ""crisis"", without ruining capitalism? or is the answer to stop paying taxes, unanimously? no worries, julian assange. i know who did this to you. i caught his lie. i will stop his war. #magnitsky #journalismwar"
209,3769314,"research from ohio state universityconservatives more susceptible to believing falsehoodsconservatives are less able to distinguish political truths from falsehoods than liberals, mainly because of a glut of right-leaning misinformation, a new national study conducted over six months shows. we saw that viral political falsehoods tended to benefit conservatives, while truths tended to favor liberals. that makes it a lot harder for conservatives to avoid misperceptions,  if more of the factually accurate stories were labeled political   benefiting either liberal or conservative positions   liberals became better than conservatives at distinguishing true from false statements.conservatives also showed a stronger  truth bias,  meaning that they were more likely to say that all the claims they were asked about were"
224,1105493,"harold and kumar go to the justice department. christmas in july. aipac masters cannot be happy about this hell hath frozen over! tyt's anna kasparian goes to tucker carlson podcast. hey kids, roids are bad for djt has made the list!"
246,2361058,"@celticoddtree  it's a shame donald doesn't listen, or read. if he did, he wouldn't say foolish things, such as, ""i thought we had a deal."" then, donald wouldn't constantly whine about his ineptitude; his disappointment, as he calls it.h/t daniel davis deep  eu-us trade deal,15% tariff on eu goods to us.zero% tariff on us goods to eu.eu decreased domestic competitiveness.eu customers get possible lower prices on competitive us goods.us theoretically increases domestic competitiveness.(shush, we don't make a lot of stuff. don't tell anyone. maybe foreign investors will construct businesses here, and import their h1b employee needs).us customers will pay minimum 15% more for eu goods.i'm not an economist. just a happily retired old fart spit-ballin' ideas. tariffs = winning-winning-winning       ""we have a last minute addition to the passenger list, mr. president. not to worry, sir, he weighs next-to-nothing."" he tried to warn the american people. politicians had their own plan.now, we're living through the latest con-job. ""so tell me, man-to-man-to-man, did your wedding night meat your expectations?"" his social truth spiced with a sprinkling of snark @iamorlando cnn update: ""we can state definitively that the bottom of the perp's sneakers are white."""
269,3687038,"this is one of my favorite poems, and i refer to it often. manifesto: the mad farmer liberation frontby wendell berrylove the quick profit, the annual raise,vacation with pay. want moreof everything ready-made. be afraidto know your neighbors and to die.and you will have a window in your head.not even your future will be a mysteryany more. your mind will be punched in a cardand shut away in a little drawer.when they want you to buy somethingthey will call you. when they want youto die for profit they will let you know.so, friends, every day do somethingthat won t compute. love the lord.love the world. work for nothing.take all that you have and be poor.love someone who does not deserve it.denounce the government and embracethe flag. hope to live in that freerepublic for which it stands.give your approval to all you cannotunderstand. praise ignorance, for what manhas not encountered he has not destroyed.ask the questions that have no answers.invest in the millennium. plant sequoias.say that your main crop is the forestthat you did not plant,that you will not live to harvest.say that the leaves are harvestedwhen they have rotted into the mold.call that profit. prophesy such returns.put your faith in the two inches of humusthat will build under the treesevery thousand years.listen to carrion   put your earclose, and hear the faint chatteringof the songs that are to come.expect the end of the world. laugh.laughter is immeasurable. be joyfulthough you have considered all the facts.so long as women do not go cheapfor power, please women more than men.ask yourself: will this satisfya woman satisfied to bear a child?will this disturb the sleepof a woman near to giving birth?go with your love to the fields.lie down in the shade. rest your headin her lap. swear allegianceto what is nighest your thoughts.as soon as the generals and the politicoscan predict the motions of your mind,lose it. leave it as a signto mark the false trail, the wayyou didn t go. be like the foxwho makes more tracks than necessary,some in the wrong direction.practice resurrection."
394,1621124," francis anthony boyle (born march 25, 1950)[1] is an american human rights lawyer and professor of international law at the university of illinois college of law.[2] he has served as counsel for bosnia and herzegovina and has supported the rights of indigenous peoples and palestinians."
