,Unnamed: 0,id,username,created_at,note,followers_count,following_count,statuses_count
3838,3838,107695,the-erm,2016-12-07T03:01:48.000Z,"""the only valid censorship of ideas is the right of people not to listen."" - power stewart",905,1461,8101
3873,3873,1015189,jimcross,2019-03-05T00:11:10.000Z,purebloodsculptor.,2718,4228,24503
3874,3874,1063745,Slo_one,2019-03-26T21:29:05.000Z,what goes on between two consenting adults is nobody's business but theirs,1844,3202,19072
3883,3883,11539,RalphieBBadd,2016-09-10T01:47:45.000Z,"#woodchipperalljournalists. unapologetically white american nationalist. a true fren. will use the n-word, c-word, j-word, and r-word carelessly, drunkenly. blocked by @a. #14words #whiteisright #iotbw #acidbathgeorgesoros #anchorchainbillgates. hooked the girl. texan by choice. bb gun officianado. pure blood.",7597,848,69753
3884,3884,1141180,815o,2019-06-23T21:51:31.000Z,"i am a real national socialist nigga who is a proud supporter of: my nigga the president fu hrer donald trump, my nigga the future president fu hrer kanye west 2024, and fu hrer adolf hitler. deutsches reich sieg heil! heil hitler! i also proudly support my nigga the filipino president fu hrer roderigo duterte, my nigga the syrian president fu hrer bashar al-assad, my nigga the korean fu hrer kim jong-un, and my nigga the russian president fu hrer vladimir putin! i do not block users, i am not a pussy.",4800,9966,42087
3945,3945,1067491,Lowery,2019-03-29T19:40:13.000Z,"lover of god, truth, freedom.",3379,3738,74719
3999,3999,110116,lucrum-sanguinem,2016-12-07T13:17:53.000Z,conspiracy realist: a critical thinker that sees through the bs after much research. fighting factards wherever they may be. arizona pureblood,1842,545,107098
4027,4027,100917,Kekromancer,2016-12-01T18:42:00.000Z,this sentence is not true.,7835,3639,296845
4032,4032,1126117,Predacon,2019-06-06T16:56:48.000Z,,225,483,880
4044,4044,1105019,jjbcbus,2019-05-12T13:24:20.000Z,,669,879,63098
4059,4059,112265,Doveascendant,2016-12-08T10:09:39.000Z,"i will be wandering the internet to find a free speech site, might let you know.",6379,9640,69726
4066,4066,1060509,ad_victoriam,2019-03-23T06:29:34.000Z,"disillusioned right-wing ex-conservative helicopter-american, anti-fiat maximalist, domestic free speech extremist, noticer.george floyd is dead and mugging ruth bader ginsburg in hell.conservatism is merely slow-motion communism.ich wu rde lieber deutsch sprechen@keepnhgranite ""whiteness is no sin.but cowardice is unforgivable.""1488 + 1776 = 3264 WE MUST DISSENT",972,709,37422
4161,4161,112876,hardrtard,2016-12-08T21:58:26.000Z,,681,1016,802
4166,4166,1127643,JohnathanA,2019-06-07T14:29:52.000Z,,3243,5358,31487
4217,4217,1034538,DemsFearTruth,2019-03-11T22:03:40.000Z,"follow me, i follow you!founder of overpasses for america, 2013i believe god made a hero in all of us, and it's up to us to right the wrongs and stop evilsingle white male, #pureblood",13318,13647,199569
4226,4226,1063298,Aulstrue,2019-03-26T15:08:18.000Z,,1675,2788,97999
4250,4250,102253,spacehonkey,2016-12-05T01:42:34.000Z,---------------------------------------just because my sarcasm is the truth it's still just sarcasm.---------------------------------------the truth can not be racist!---------------------------------------,4048,999,12
4281,4281,106215,Gainsay,2016-12-07T00:27:13.000Z,"faugh a am a direct descendant of the breifne o clerighs, court amanuensis of the breifne kings. under the advice of legal counsel i declare that the entire content and attachments of any and all of my posts are for the purpose of entertainment and that i do not vouch for the veracity of the content. furthermore, i in no way waive any and all of my rights as a free citizen to any individual, group agency, or government.",1141,1390,75
4289,4289,1135394,ToddStarnes,2019-06-16T00:52:47.000Z,todd is a newsmax host. he worked at fox news for more than 15 years. he's on the radio 12 p.m. - 3 p.m. daily. his website is,58811,717,4122
4312,4312,1120859,MelKShow,2019-05-31T15:03:44.000Z,"proud patriot and lover of america, facts, freedom, truth, proven science, family and god! #powertothepeople #greatawakening #truthwarrior #godwins",10518,504,2990
4441,4441,115040,GravelGertie,2016-12-10T10:25:43.000Z,"when i was a child i caught a fleeting glimpse....out of the corner of my eye. i turned to look but it was gone i cannot put my finger on it now, the child is grown the dream is gonecomfortably numb - pink floyd",811,364,11363
4449,4449,1064434,StoningMaryUSA,2019-03-27T11:15:31.000Z,"singer/songwriter/guitarist for stoning mary. we are a heavy rock, grunge, punk influenced band- christians who love liberty and the constitution. reverbnation.com/stoningmaryusaredbubble.com/people/ericalan",723,796,13504
4481,4481,1054075,Pieman211,2019-03-18T16:48:34.000Z,"all lives matter, even the idiots.",1003,752,15262
4501,4501,1148963,last18500,2019-07-02T01:07:01.000Z,the road goes ever on,750,956,6504
4578,4578,1095246,Kkbrown,2019-05-04T23:16:02.000Z,do your best pray that it's blessed let god take care of the rest!!!!,12,44,203
4582,4582,1066456,Falchion,2019-03-28T19:37:29.000Z,"parents should raise their children. not the internet. contribute to your candidates directly. don't give donations through the rnc or dnc. censorship is not a part of the scientific method.i don't judge people based on the color of their skin and i don't want to hear from people who do.married to my one and only forever.check out the fun that doesn't hate you group on and improved paul williams. now, an author!",872,2673,879
4604,4604,1038201,Charmaigne,2019-03-12T23:06:51.000Z,,12,20,9
4605,4605,1109940,Sonofamitch,2019-05-17T04:31:46.000Z,,20,641,17606
4660,4660,1077316,Krackerhonky,2019-04-11T21:53:07.000Z,,303,568,3067
4717,4717,101243,HempOilCures,2016-12-02T02:31:32.000Z,"""when governments fear the people, there is liberty. when the people fear the government, there is tyranny. the strongest reason for the people to retain the right to keep and bear arms is, as a last resort, to protect themselves against tyranny in #j6 christ is king",57655,381576,46024
4839,4839,1103289,brian_yohe,2019-05-10T23:35:15.000Z,"kneel for jesus, stand for the flag. happily married to my high-school sweetheart. live free or die. #2a",1318,2440,4928
4840,4840,1126607,Dkitchenkitch,2019-06-06T21:57:50.000Z,"truth is that which corresponds to reality. ""if there are no absolutes by which to judge the thoughts and actions of society, society becomes absolute.""francis schaeffer",151,235,1042
4863,4863,1175061,DruvianFreemanocci,2019-07-11T02:39:37.843Z,"the truth is a who, not a what...christ is the way, the truth and the life.former gnostic/ paganmy desire is to not be deceived, and to help others do the same. there is a vast web of lies spun. but we are not trapped in a matrix, nor is earth hell.there is a difference between ""just being good at being a man"" , and ""being a good man""learn it. strength, courage, mastery, creativity, and honor. the 5 masculine virtues.",377,605,7155
5017,5017,1035575,wcstout25,2019-03-12T02:10:47.000Z,"maga2020 god is #1, jesus is lord. housewife, mother, grandmother. #wwg1wga #greatawakening",2766,4431,4239
5118,5118,1135363,democratdummy,2019-06-15T23:53:17.000Z,"i have all my faith in god.the communist /zionist nwo illuminati , skull and bones , ccp and the treasonist government have us running scared in a covid psyop! we are in a 4th dimensional war. covid was created from snake venom ! #redpill #thegreataeakenimg ho1.us #outoftheshadows watch "" out of the shadows"" oan",7415,8427,197723
5203,5203,103609,Projection,2016-12-06T22:38:53.000Z,"let not anyone pacify his conscience by the delusion that he can do no harm if he takes no part, and forms no opinion. bad men need nothing more to compass their ends, than that good men should look on and do nothing. he is not a good man who, without a protest, allows wrong to be committed in his name, and with the means which he helps to supply, because he will not trouble himself to use his mind on the subject. john stuart mill (1867)",3446,2424,25638
5286,5286,114673,Kadiyania,2016-12-10T08:15:13.000Z,"biology and geology are my hobby. #irish , i'm a mc . || ""you may stop this individual, but you can't stop us all... after all, we're all alike. +++the mentor+++ || #warez proud american and national socialist.",3610,7226,3554
5296,5296,1061131,MindVirus,2019-03-24T00:18:54.000Z,free speech absolutist! biden is not a president of anything! bjj 18 years. no clot shot or demon needle for me. #pureblood #notmypresident #bjj #fuckrinos,1143,2355,4045
5303,5303,1023277,condew,2019-03-07T17:21:07.000Z,,2416,326,104288
5382,5382,1085001,Stanleymitchell90,2019-04-22T10:49:31.000Z,notable notice-ologist,8002,571,70995
5386,5386,1017889,thefederaldeathtrap,2019-03-05T22:30:29.000Z,"the thing collectivists don't seem to understand, is the individual dies last.long live the individual !nobody wants to save you.you must save yourself.invest in tangible, finite resources.collect seeds and metals.can foods and dry meats. return to nature.",168,190,2661
5487,5487,1032008,JASONAGA,2019-03-11T06:34:07.000Z,sick to death of the un bullshit in the world all they do is take our tax money then throw us dangerous immigrants that want to kill us. here because of twatternazi jail,1630,2889,5833
5650,5650,1095044,Shoegun,2019-05-04T20:52:49.000Z,"american patriot #maga the bible precedes the constitution. god is our leader....#obama is the master spy #wwg1wgashogun(s) were chinese and japanese army leaders.since neither, i'm for god's army. non violent seditionist.",6377,10000,60072
5821,5821,1029606,chefykins1,2019-03-10T10:12:46.000Z,60 + year old disabled ex hippy chef from ontario,3019,2668,76670
5828,5828,107110,JanettaDoe,2016-12-07T01:43:22.000Z,"i am gail eiceman @eicemangail on twitter. it's my 3rd account after getting suspended twice for speaking truth. let's go down the rabbit hole to see what we can find, shall we. can you handle the truth?truth always comes to the surface for all to see, whether people like it or not. i will always stand for god's truth & faithfulness that sustains me.i don't chat!",1363,1506,43739
5880,5880,1123054,ENJIE,2019-06-03T19:27:01.000Z,,3923,6735,41078
5911,5911,1105558,GermaniaDog,2019-05-13T02:47:04.000Z,,1686,1727,85014
5942,5942,1177475,tradtiger,2019-07-12T03:29:05.062Z,"former journalist, legislative aide, substitute teacher; baseball dad of a college pitcher -- who's now a pitching coach; retail associate; traditional archery hunterdisclaimer: all posts or reposts - previously or forthcoming - are for entertainment purposes only.fyi: some ""reposts"" are merely for my own viewing later, not necessarily endorsements.",2481,4219,30238
6020,6020,113634,JulyDolphin,2016-12-09T21:27:54.000Z,"made in usa patriot born free save our children beachoholic god bless the us #godwins conservationist sea turtle guardian #maga dolce far niente faith, hope, love & light rp = endorse dm",3433,2247,59108
6047,6047,1113269,NED-1,2019-05-20T22:31:06.000Z,,160,171,3102
6401,6401,1045830,Jooe,2019-03-14T23:38:50.000Z,,63,80,2315
6503,6503,1075018,TemplarBob,2019-04-08T23:18:29.000Z,"i am a constitutional conservative. christian morals and live and let live philosophy. i believe islam is a cult not a religion. i believe the vast majority of the government is totalitarian and only cares about themselves. i believe hillary belongs in leavenworth.lastly, the templar s and the knights hospitalars defended the the holy land from the cult of islam. jesus was a jew, christianity was born from judaism. if the jews are evil, then i ll find out when i get where i am going.",783,720,12930
6632,6632,1070447,sam99l,2019-04-02T19:46:05.000Z,"25""an appeal to heaven "" does do be interesting thingy | verified extremist content posts/reposts and follows, don't necessarily equal endorsementpronouns: your highness/his excellency mathew 10:22check out me channel poihaps?youtube |",982,2197,11498
6711,6711,1101884,Stickwoman,2019-05-09T15:40:24.000Z,"i am a smirky gal. i follow back, but it might not be the same day bio is pinned below. btw, if ur following me cause u think i have to buy bitcoin, ur dead wrong! poorer than a church mouse, i am. if u can't be bothered to follow me back, most generally, u won't be followed either...",6862,8864,22252
6823,6823,1060831,SlippingHalo,2019-03-23T16:57:52.000Z,"metalhead ---------------------------------------save our children i am a wn who loves her race. 14 words always. christian's fighting amongst ""heathens"" and vice versa when we are trying to save our white race is pathetic and despicable. it will lead to our doom. either stand together or die. reposts and follows do not necessarily imply endorsement.",971,1322,10474
6855,6855,11810,Akatomdavis,2016-09-10T13:21:11.000Z,"tom loves god, america, his kids and grandsons, and his wife of 40 + years. he s all about maga, 2a and life ! , all in one ! plus a vietnam vet as well ......ifb....god bless this great nation !",14159,12243,30467
6875,6875,1119590,nolongerlib1,2019-05-29T16:00:14.000Z,"christian, constitutional conservative, pro-life. thought criminal.",1384,1341,26844
6877,6877,1122124,retroguygaming,2019-06-02T09:33:50.000Z,"me? i'm a britisher who refuses to be cowed by big tech. i grew up loving toons from america's golden age, and these days try to make my contributions based upon the stuff i loved as a kid. i'm an upcoming indiedev leading the celessteel project, a comic and videogame project based on 80s saturday morning cartoons.if you enjoyed classic gi joe, transformers, he-man, thundercats etc go ahead and follow me, my projects are based on that exact wholesome era along with 80's culture...",1797,5779,220
6920,6920,1079725,LouBator,2019-04-13T17:38:43.000Z,"a proud arizonan, a proud american. note...if your account is locked, please don't follow me, as i will delete you.",536,391,34069
6935,6935,1081391,user29A,2019-04-16T02:14:58.000Z,world is roundmoon landings realclimate alarm is pseudoscience chemtrails are realjews are invasive parasitespureblood vaxfree - do not any vax your kidswhole foods/raw/keto/carnivorefascist national socialismwe must secure...make vax-free white babies now!,56,157,132
6953,6953,1139113,realityexposer,2019-06-21T06:08:02.000Z,,61,78,561
7022,7022,1124556,riustan,2019-06-05T21:36:58.000Z,"all lives matter""you don't know what you have until it's gone."" the future does not belong to globalists, the future belongs to patriots, the future belongs to sovereign and independent nations, -donald john trumpa true king searches for what he can give -mufasa",3414,161,161108
7044,7044,1082515,SnydersSoapbox,2019-04-18T00:56:47.000Z,"i'm a reformed baptist. i've been a corrections officer since 1995. i recently retired after 26 years. i've been married to the same wonderful woman since 1991. i am the writer, and owner of where i review bibles, christian books, and write articles on the christian faith. i'm not here to argue, or prove any point. i'm here to share with others who are like minded. if you don't like/agree with something i've posted, keep scrolling. otherwise, i'll block you.",882,508,17439
7167,7167,1124976,EvaAnna,2019-06-06T01:04:47.000Z,,-147,-77,7181
7211,7211,108979,Energymancer,2016-12-07T08:06:42.000Z,"""censorship is the tool of those who have the need to hide actualities from themselves and from others."" - charles bukowski",1486,2537,12370
7212,7212,1143255,awake_a_f,2019-06-26T13:05:47.000Z,"jesus christ is lord!""...male and female created he them.""ex-republican, never have been a democrat. pro constitution./pol/us army 87-91 63b1pi denounce the talmud. if you don't have a source, you're probably lying.",320,468,3914
7317,7317,1085077,euroknight,2019-04-22T14:09:40.000Z,proud american of european descent. i believe in making america great again and white again as well as europe! 14 words!!,640,1347,3856
7324,7324,1052516,Pilix8,2019-03-17T23:14:05.000Z,,3686,7523,10771
7334,7334,1091239,Notekz,2019-05-02T18:59:22.000Z,"islam is israel s broom the holocaust is a lie.always block jews.flerfers get muted, they are liars.",3925,2961,144091
7340,7340,1058315,Tayai,2019-03-21T06:52:13.000Z,white superiorityanglo-hessianslaughterer of sacred cows,2462,699,36606
7364,7364,1099165,CassandraNeph,2019-05-07T16:21:34.000Z,question everything. slow down. breathe. embrace your divinity.,926,1810,1337
7372,7372,115170,Trinacria,2016-12-10T11:01:04.000Z,"nothing will change until tyrant heads are rolling in the gutters.bolsheviks, commies, socialists, traitors, fuck off. private accounts, hiding your followers, pet posters; no sense of humor; want only nice & polite posts; terminally hip? follow somebody else. do not burn your bridges before you come to them. i block back. no lists. no trains.genuine counterfeit ai generated posts.pureblood in texas.",3811,3367,71652
7475,7475,1091961,KM62,2019-05-03T04:07:27.000Z,"a conservative truth seeing patriot that supports freedom of speech, trump, and the u.s. constitution.",3471,196,117954
7678,7678,1147223,bpbenedict,2019-06-29T17:22:29.000Z,,296,747,4877
7679,7679,1080140,Necromonger1,2019-04-14T06:46:17.000Z,knowledge makes man unfit to be a slave. spiritual freethinker,12939,7100,-450
7688,7688,1033493,Trex44820,2019-03-11T19:38:30.000Z,"#maga #wwg1wga #trump20202024 retired, maintenance tech, motorcycle builder. 11 year member of machinist & aerospace union usmc 75-79lifer member american veterans motorcycle club",3782,3101,87669
7792,7792,1014874,Rajagra,2019-03-04T22:41:26.000Z,"everything that's going on now is about un agenda 2030. in 2020 they started a ten year plan to install the means of absolute control over humanity - a digital id social credit system disguised as a health pass. our quality of life will be slashed. our human rights will be converted to privileges that we must pay for or earn through obedience. cash will go, so escape will be nearly impossible.",282,288,2408
7799,7799,1125931,TyrannyResistance,2019-06-06T14:53:27.000Z,the white christian defense federation,4819,4729,91647
7842,7842,1032643,turtleswolverine,2019-03-11T13:51:36.000Z,wife mother homemaker homeschooling traditionalist white european nationalist natsoc racist living the 14 words,1461,1382,10488
7891,7891,1121279,5__G,2019-05-31T23:51:11.000Z,"world government is here. it s neither communism or capitalism but the worst of both, a dictatorship by so called experts, a pseudo scientific cult who s priestly adherents give themselves away in this new world order by wearing a mask of silence at the altar of technocracy.!the opposition to this dictatorship, the croaking frogs, well, they appear to be all here, boiling away in the one pot. a deep state echo chamber, that is, until they turn up the heat - welcome to @5__g s gab page.!",1062,1072,12426
8017,8017,109965,Aurora3,2016-12-07T12:43:17.000Z,"rebel, bohemian. devoted to truth and beauty and kindness, wolves, waterfalls and grace, grandeur and german shepards. #2a and firing squads and #savethechildren and purebloods. i will die on my feet before i live on my knees!",1372,1347,6296
8069,8069,1137406,NorwegianQ,2019-06-18T22:00:15.000Z,hoping maga at some point will turn into mega (making earth great again).,708,1345,3614
8261,8261,1033646,JewsHateTruth,2019-03-11T19:58:58.000Z,"pureblood pro-truth, life, liberty, justice & happiness. rabbi yosef- ""goyim were born only to serve us. without that, they have no place in the world."" while talking to jews, trump said - ""we have to get the people of our country, to love israel more. i have to tell you that"". trump said - ""i recommend take the vaccines. i did it. it's good. take the vaccines."" bobby fischer (iq 187) - ""i'm hoping a revolution happens in america & the jews will get kicked out of power.""",3943,5060,14264
8297,8297,1094792,BlondeUniverse,2019-05-04T18:03:48.000Z,"oh please underestimate me!#italian #blondeismagic #patriotmohave co, arizona, usa *enfp* commercial re broker by day mystic also by day rocker even in my sleep let the show begini've been ready just an indie conservative blonde!""i intend to broadcast from this ship24 hours a day til the day i diethen a couple days after that!""** if you can't engage me publicly, don't dm me in private**** if you are selling something i will not follow back, otherwise i will**",1520,2093,5405
8376,8376,1097545,BlackCrimesMatter,2019-05-06T22:48:16.000Z,i'm an original content creator that's been banned on bitchute and odysee for waking up too many goyim.,5981,523,3488
8637,8637,1007544,Lorenzot1990,2019-03-02T23:39:40.000Z,"republics are created by the virtue, public spirit, and intelligence of the citizens. they fall, when the wise are banished from the public councils, because they dare to be honest, and the profligate are rewarded, because they flatter the people, in order to betray them.--joseph story, 1833",1057,299,35674
8983,8983,1136405,fracasintent,2019-06-17T17:16:55.000Z,i am white.jesus is my lord.the jews are antichrist.the jews are antiwhite.i am anti-jew.,1410,1379,20591
9033,9033,1103074,eleete,2019-05-10T19:26:28.000Z,,4058,7694,793
9035,9035,109679,Voltergeist,2016-12-07T11:36:15.000Z,death to clown world.,1542,1906,24418
9104,9104,1007983,HockeyGoon,2019-03-03T01:38:06.000Z,i have 3 children and have not slept for 76 hours. banned from twitter. banned from facebook. banned from icq. nobody ever got banned from icq.telegram t.me/mayorofmitchieville,256,208,1493
9294,9294,1110987,vikinglife,2019-05-18T01:53:53.000Z,"was hitler right or wrong? please, make up your mind!people are telling me, that hitler was right about jews, gypsies, homosexuals and other degenerates, gun laws, animal rights, etc.. and then they want me to believe that he was completely wrong about polish and russian people and that it is perfectly fine, that they are invading white homelands.you sir/madam are larping.",720,654,21745
9425,9425,107125,StopFundingisrael,2016-12-07T01:45:18.000Z,"public intelligence analyst, radio host and dedicated to exposing nwo infiltration of society. exposing zionist crimes in society is american-australian son of a vietnam vet: steve johnson. big fan of bill cooper, harry harrison and nikola teslas' work.",11107,52814,13821
9494,9494,11557,DarthWheatley,2016-09-10T02:24:12.000Z,personality sphere | fueled by memes | sarcastic asshole anti-herolocation: in spaaace,2063,784,8253
9525,9525,10021,Grumpy_Hoosier,2016-09-06T00:52:05.000Z,"retired reagan/thatcher conservative; oif/oef veteran. #nra life member. i believe in #1a, #2a and the whole bill of rights for all americans. deplorable dreg.",6923,5016,66949
9558,9558,1132750,Joensanford,2019-06-13T10:07:29.000Z,"here for the memes and the citizen generated news. do not chat me up and then try to sell me something. not bitcoin, not the impending monetary doomsday. nothing. not a dating site either. friendly folks are welcome.",1834,540,61782
9610,9610,1038971,Tashi5062,2019-03-13T10:15:31.000Z,open minded critical thinking people are like streams of flowing water going somewhere.close minded people are like pools of stagnant water going nowhereg n p 1950,379,347,13670
9615,9615,102813,RedeemedPatriot6,2016-12-06T19:59:34.000Z,"god country duty us army (ret'd) veteran, iii%, lifenra, fl ga sc sheriffs associations. christian, southern, american. trump won #fjb my ""pronouns"" are #1a/#2a ***rps/likes are not endorsements or vetting. disregard = block. ***""dislike"" w/o explanation = block. no crypto, floozies or ig bimbos.fed disclaimer: nothing posted here is ever any call to any specific action, especially illegal acts",3836,2965,58013
9697,9697,1014957,Biggdog,2019-03-04T23:04:03.000Z,"vietnam grunt,piss on commies let's go brandon! halal kosher pork ummm.i love my totem pole",2434,2888,106030
10248,10248,1125166,SirBluecheck,2019-06-06T03:14:21.000Z,"what if diversity isn't a strength? what if diversity, in fact, brings about destruction of a nation? we are learning the answer in real-time.---------my prediction? diversity--lack of whiteness--will destroy every country that ""enjoys"" it. worse, it is an intentional (((process))) with a specific goal, the ending of any significant white remnants.",313,768,2319
10312,10312,1153,Spacebunny,2016-08-20T16:37:56.000Z,"christian, carnivore, animal loving, homeschooling mother, and wife. gender equality denier.",9552,173,15114
10386,10386,11494,EarlyGirlSC,2016-09-09T23:25:15.000Z,reactionary thought criminal larping as a suburban mom. wasp descended from pre-revolutionary stock. christian. southerner. mostly harmless. #nicecrew. 2016er. author links: charlottesville e. lee for kids:,6595,2621,47047
10457,10457,109665,Fisher21,2016-12-07T11:34:00.000Z,"christian, father, not a globalist, always an american, free speech, 2a, intermittent fasting, fasting, anti-antifa, anti-communist, anti-mask, now anti-vax, now living in the freestate of florida, in the end we win",769,654,2702
10513,10513,1005037,ViertesReich,2019-03-02T14:46:10.000Z,"christian traditionalist and retired youth pastor; wn/ns. pf affiliate. us coast guard vet.defeat never - victory forever 1488. for the ra! globally! ! we will never capitulate. death before dishonor.no more brother wars for israhell! our ancestors chose martyrdom before compliance with evil. cuckserfs, you better learn quick, choose a side or it will be chosen for you.reclaim america! total ins reksh( )n#nopoliticalsolution",739,459,6503
